time,emis_ALD2,emis_ALDX,emis_CH4,emis_CL2,emis_CO,emis_ETH,emis_ETHA,emis_ETOH,emis_FORM,emis_HONO,emis_IOLE,emis_ISOP,emis_MEOH,emis_NH3,emis_NO,emis_NO2,emis_OLE,emis_PAR,emis_SESQ,emis_SO2,emis_SULF,emis_TERP,emis_TOL,emis_XYL
36000,0.01335725,0.004615865,0.046615507,0.000272915,1.3895245,0.034096107,0.01419939,0.035597891,0.026702911,0.001178404,0.028349241,0.5450322,0.15056099,0.15976873,0.16054235,0.014713961,0.043290563,0.51586396,0.004384552,0.005242257,5.00E-05,0.055760641,0.008269147,0.006318918
39600,0.015615944,0.00535727,0.050479781,0.000272915,1.5749049,0.039174389,0.015844386,0.041545704,0.031381834,0.001265538,0.032959241,0.77642488,0.21019702,0.21179843,0.17306401,0.015715556,0.051798798,0.60138506,0.00588856,0.005777623,5.34E-05,0.065139778,0.00978181,0.007329615
43200,0.017697172,0.006018857,0.051736854,0.000272915,1.6621436,0.043585144,0.017154993,0.047652166,0.035413872,0.00131411,0.037562151,0.95384985,0.25580093,0.26889476,0.17984706,0.016356928,0.059111703,0.67998534,0.007650892,0.006030382,5.56E-05,0.07465861,0.011191724,0.008119715
46800,0.01968235,0.00665568,0.05211981,0.000272915,1.7419443,0.04731591,0.018123912,0.053350482,0.039634973,0.001333135,0.041526932,1.0717148,0.28622419,0.31614092,0.18322529,0.016765121,0.064769298,0.75297475,0.009312714,0.0064124,5.68E-05,0.082655624,0.01275739,0.008930598
50400,0.021065587,0.007121058,0.052576717,0.000272915,1.8206626,0.050213508,0.018856104,0.056329347,0.042651605,0.001374647,0.04438417,1.1613028,0.30939859,0.3437407,0.18842466,0.017402757,0.069039784,0.78472793,0.010671123,0.006663485,5.75E-05,0.088669002,0.012952305,0.009060179
54000,0.021391066,0.00728568,0.054924425,0.000272915,1.9346312,0.052497655,0.019451642,0.053521834,0.043252796,0.00147321,0.045736935,1.1959649,0.31912696,0.34420964,0.1985981,0.018415576,0.071747303,0.7255944,0.011596781,0.006418471,5.71E-05,0.092522345,0.009716567,0.007607257
57600,0.021330031,0.007263036,0.054834191,0.000272914,1.947726,0.052940838,0.019397901,0.052573193,0.042878173,0.001493039,0.046090234,1.1816198,0.3166762,0.31628537,0.19963324,0.018646769,0.072141118,0.70173365,0.01188756,0.006059296,5.52E-05,0.093533635,0.008596766,0.007045309
61200,0.020899456,0.007104703,0.053011887,0.000272834,1.8719484,0.051753178,0.01872712,0.051361471,0.042049959,0.001410339,0.045173012,1.0626224,0.28715369,0.26640081,0.18946755,0.01763518,0.069356225,0.67550474,0.01150501,0.005726701,5.17E-05,0.091609389,0.008222965,0.006712356
64800,0.019732006,0.00672382,0.048284043,0.000272834,1.6153185,0.048476547,0.017490914,0.04858743,0.039728101,0.001217071,0.042773042,0.80277997,0.22070459,0.20017156,0.16687171,0.015318842,0.0626477,0.61982036,0.010462536,0.005340824,4.89E-05,0.086720094,0.007385984,0.005977158
68400,0.017811073,0.006097009,0.042218629,0.000272834,1.2911766,0.043538246,0.016031291,0.044305194,0.035693359,0.001027421,0.039002884,0.46274507,0.13057083,0.13035157,0.14410914,0.013128786,0.053043053,0.54306191,0.00885566,0.004865478,4.71E-05,0.078990936,0.006198367,0.004971926
72000,0.015458625,0.005311952,0.036849238,0.000272834,1.0341462,0.037657332,0.014120041,0.038332816,0.031069109,0.000873546,0.033873722,0.153542,0.045728941,0.087083057,0.12478221,0.011244194,0.04231663,0.4527176,0.006771201,0.004296729,4.21E-05,0.068258449,0.005004237,0.004010708
75600,0.015623343,0.005367485,0.036857709,0.000272834,1.0381364,0.038028665,0.014204639,0.038712759,0.031397924,0.000874477,0.034257643,0.14647564,0.043634467,0.088372529,0.12421087,0.011257282,0.04254448,0.45512038,0.006919931,0.004297151,4.21E-05,0.068990365,0.005007808,0.004012344
79200,0.013115701,0.004512786,0.030426241,0.000272834,0.76678634,0.032042973,0.011785425,0.032678299,0.026192056,0.000727186,0.029170364,0.001867817,0.003497483,0.068014733,0.10419447,0.009458482,0.034530554,0.36657169,0.005108554,0.003308851,3.38E-05,0.059019871,0.003752127,0.002968316
82800,0.011551979,0.003981011,0.026003392,0.000272834,0.59681475,0.028166441,0.009876447,0.02851272,0.023196843,0.000613494,0.025751919,1.70E-05,0.002535017,0.055128727,0.088980615,0.008020524,0.030399693,0.30710772,0.004059906,0.00262117,2.63E-05,0.052552596,0.002899305,0.002262177
86400,0.010504967,0.003624736,0.022805884,0.000272824,0.46728343,0.025486125,0.008573514,0.025795296,0.02116897,0.000518541,0.023491064,1.55E-05,0.002193674,0.046334345,0.076687194,0.006885039,0.02759476,0.26867488,0.003431679,0.002171598,2.15E-05,0.048235204,0.002343145,0.001789401
